,business_id,name,address,city,state,postal_code,categories,review_count,stars,latitude,longitude
21694,'Vicyayl5aW6fC9oN7H4U8Q','Total Wellness Acupuncture',"'3201 W Peoria Ave, Ste C-607'",'Phoenix','AZ','85029',"'Doctors, Health & Medical, Traditional Chinese Medicine, Massage, Acupuncture, Naturopathic/Holistic, Beauty & Spas'",14,4.5,33.58152800000001,-112.129099
21722,'SaTA8vxwlX-IYKRRRQbxFw','Pink Lotus Express','18635 N 35th Ave','Phoenix','AZ','85027',"'Restaurants, Chinese, Seafood'",17,3.0,33.6559721,-112.13388
22480,'AMM3qOH9DUQzJHm9Q3vHag','Red Wok Buffet','3434 E Thomas Rd','Phoenix','AZ','85018',"'Buffets, Chinese, Restaurants'",129,3.0,33.4808153,-112.0069764
22778,'gJpe4zhZV9ajKJyX5yN85A','Peony Garden Buffet','4909 E Chandler Blvd','Phoenix','AZ','85048',"'Buffets, Mongolian, Sushi Bars, Restaurants, Chinese'",38,3.0,33.303884499999995,-111.9787978
23148,'yzfp-WYIfcwRwcuMc6Uelw','Pick Up Stix','777 E Thunderbird Rd','Phoenix','AZ','85022',"'Restaurants, Chinese'",4,2.0,33.6075454,-112.0634243
23672,'QOmojzu24dTI2coPjOtu2Q','Good Taste House','8510 N 7th St','Phoenix','AZ','85020',"'Chinese, Restaurants'",92,2.5,33.5606210688,-112.06543046430001
23732,'RnxOmwWVsJC87ztJPrHsig','Red Wok Express','7509 W Encanto Blvd','Phoenix','AZ','85035',"'Chinese, Fast Food, Restaurants'",33,3.5,33.471981,-112.22132
25517,'wrRxFrnUucvR4dlG6Q9fKA','Panda Express','2501 W Happy Valley Rd','Phoenix','AZ','85085',"'Fast Food, Restaurants, Chinese'",51,2.5,33.711702,-112.111312
26197,'m9iqRUgclcsQs-z8c2FTeA','Suddenly Slimmer Day and Med Spa','3313 E Indian School Rd','Phoenix','AZ','85018',"'Waxing, Beauty & Spas, Traditional Chinese Medicine, Medical Spas, Barbers, Automotive, Nail Salons, Day Spas, Hair Removal, Nutritionists, Laser Hair Removal, Tanning, Skin Care, Health & Medical, Acupuncture, Makeup Artists'",189,3.5,33.494812,-112.0096334
26252,'2p346MdyPISpZ2k-h0GSqg','Flaming Wok','7611 W Thomas Rd','Phoenix','AZ','85033',"'Chinese, Restaurants'",11,4.0,33.4765,-112.224647
27454,'s6KtKeubYAa-sY9OC3i58Q','Happy Food','3 W Baseline Rd','Phoenix','AZ','85041',"'Restaurants, Chinese'",29,3.5,33.376992,-112.073634
27457,'2GtIC6u4hVneccWfTlOxHQ','Hong Kong Gourmet Buffet','4909 E Chandler Blvd','Phoenix','AZ','85048',"'Sushi Bars, Ice Cream & Frozen Yogurt, Chinese, Asian Fusion, Restaurants, Buffets, Seafood, Japanese, Food, Fast Food'",177,3.0,33.3039011,-111.9784087
27485,'i0V2H_x_rRbFHjJNEsctqA','Rejuvenate Center',"'10211 N 32nd St, Ste B-1'",'Phoenix','AZ','85028',"'Health & Medical, Traditional Chinese Medicine, Acupuncture'",5,4.0,33.579364500000004,-112.012519
27672,'M4JY5zYBcDoudg9HGc6mEg','Hive Healing House','1357 W Mulberry Dr','Phoenix','AZ','85013',"'Professional Services, Counseling & Mental Health, Acupuncture, Health & Medical, Hypnosis/Hypnotherapy, Traditional Chinese Medicine'",12,5.0,33.4865345,-112.0910914
27848,'suNSq8Bs2vsN1nHlOULNog','Wongs To Go','5219 S 7th St','Phoenix','AZ','85040',"'Soup, Restaurants, Chinese, Noodles'",8,4.0,33.3988083,-112.0643361
28638,'R7-3MCD6_RL_VxN65yCh2Q','Great Wok',"'3646 E Ray Rd, Ste 12'",'Phoenix','AZ','85044',"'Chinese, Restaurants'",131,4.0,33.3165932,-112.003623
29524,'atSfDP-SLY4GrvBlBPB31Q',"""Kim's Chinese Kitchen""","'3015 E Thomas Rd, Ste 7'",'Phoenix','AZ','85016',"'Chinese, Restaurants, Food Delivery Services, Dim Sum, Food'",50,4.0,33.4802788,-112.0166875
30615,'fGrE4Om-cTh_JgQC42qx9A','Panda Express',"'4750 S 48th St, Ste 121'",'Phoenix','AZ','85040',"'Fast Food, Chinese, Restaurants'",58,2.0,33.4041326,-111.9789375
31528,'dgtPyWPSFiINs6GJZjS4Cg','New Silver Dragon','1739 W Glendale Ave','Phoenix','AZ','85021',"'Restaurants, Chinese'",28,3.5,33.5381881274,-112.0969280172
34247,'7XRbA_t8UNxMHkdslLd5Tw','China Buffet','7710 W Lower Buckeye Rd','Phoenix','AZ','85043',"'Chinese, Restaurants'",3,4.0,33.4233639,-112.2260121
34417,'gBEWJ4b2OvUmN4Oh7ju3hw','Iron Chef',"'10810 N Tatum Blvd, Ste 106'",'Phoenix','AZ','85028',"'Restaurants, Chinese, Japanese, Sushi Bars'",399,4.0,33.5850671365,-111.97846899620001
34488,'AUFFJBCh6spwBFJI6SnITg','Chen Wok Express','8115 N 19th Ave','Phoenix','AZ','85021',"'Restaurants, Chinese'",41,3.0,33.55515870000001,-112.0991954
34588,'nBwOIq5KI-zmxp061dTmgw','Chen & Wok','6505 N 7th St','Phoenix','AZ','85014',"'Chinese, Restaurants'",158,3.5,33.5311918285,-112.06452295940001
36623,'m3tNor-GTl-aAST5AmEqYA',"""Lin's Grand Buffet""",'7406 W McDowell Rd','Phoenix','AZ','85035',"'Buffets, Restaurants, Cantonese, Chinese, Sushi Bars'",110,3.0,33.4662093811,-112.2189348
36676,'Jzz-ZLXsd2ClSn6UyFcbpw','Sing High Chop Suey House','27 W Madison St','Phoenix','AZ','85003',"'Chinese, Restaurants'",145,3.0,33.4458929,-112.0744377
36985,'TdjydrOFUSMUsTKdlXW6aQ','New Garden Restaurant','823 S Central Ave','Phoenix','AZ','85004',"'Restaurants, Chinese'",53,4.0,33.4392672,-112.0735794
37988,'4NfjvMzUG5rbkxtPg-8pkw','Panda Express',"'7000 16th St, Ste 100'",'Phoenix','AZ','85020',"'Restaurants, Chinese, Fast Food'",37,2.5,33.538635502199995,-112.0483822469
38662,'uLUl_dMl6a9m774LGReDVA','Golden Wok Chinese Restaurant','4651 E Cactus Rd','Phoenix','AZ','85032',"'Restaurants, Chinese'",77,3.5,33.5974178719,-111.98163561530001
41571,'cI7k9zqs_pl3byUDE4cpdA','Golden Phoenix Chinese Restaurant','6048 N 16th St','Phoenix','AZ','85016',"'Chinese, Restaurants'",97,3.0,33.524830800000004,-112.04800159999998
42140,'kWkW6vVePpBox_fKfGgPjQ','Pan Asia Sushi Chinese Fusion',"'2485 E Baseline Rd, Ste 157'",'Phoenix','AZ','85042',"'Sushi Bars, Chinese, Restaurants'",89,3.0,33.377113800000004,-112.0278885
44714,'6SfNZP1oqiQV1AYLK9A8WA',"""Long Wong's""",'545 W Thomas Rd','Phoenix','AZ','85013',"'Chinese, Chicken Wings, Restaurants, Fast Food'",42,3.5,33.4800859,-112.08249840000002
45242,'8jWuRoHUFCXPdGVIYHTg5g','Great Wall Buffet Two Corporation','8101 N 35th Ave','Phoenix','AZ','85051',"'Restaurants, Chinese'",11,2.5,33.5549658,-112.1342358
45748,'1F4T9e6bRFwL11wnNxW4Ng','Panda Express','3923 E Thomas Rd','Phoenix','AZ','85018',"'Fast Food, Chinese, Restaurants'",36,2.0,33.480056558,-111.99783875840001
46916,'Yp1mu3l4Z8rdgsG3C2AlpA','Silver Dragon Chinese Restaurant','8946 N 19th Ave','Phoenix','AZ','85021',"'Chinese, Restaurants'",3,4.0,33.566809,-112.100097
47296,'2jx_SaBzvIdIwul4JoY9IA','China Restaurant','4709 E Southern Ave','Phoenix','AZ','85042',"'Chinese, Restaurants'",54,3.5,33.392382399999995,-111.9802861
47435,'E8ugJa02FVCgfnjqV817iw','Maxim Restaurant','3424 N 19th Ave','Phoenix','AZ','85015',"'Vietnamese, Restaurants, Chinese'",191,4.0,33.4884076,-112.1003957
48893,'RezqChEv5DPJC85d20R85A','Japanese Acupuncture',"'600 N 4th St, Ste 147'",'Phoenix','AZ','85004',"'Acupuncture, Health & Medical, Traditional Chinese Medicine'",14,5.0,33.4549229,-112.0691082
50095,'kZWjEMEM4vCBL9GaQy-spw','9 Dragons Kung Fu',"'20833 N Cave Creek Rd, Ste 102'",'Phoenix','AZ','85024',"'Active Life, Fitness & Instruction, Martial Arts, Chinese Martial Arts'",6,5.0,33.6753349655,-112.0300126429
50655,'prrnJEMpCh1cSxrQJBYy7g','Hibachi City Buffet',"'3414 W Southern Ave, Ste 168'",'Phoenix','AZ','85041',"'Buffets, Restaurants, Sushi Bars, Chinese'",13,2.0,33.392204716799995,-112.1316669881
50808,'ViFDeMpfxe0EdIgOhX48Kw','Urban Wok','100 N 3rd St','Phoenix','AZ','85004',"'Chinese, Restaurants'",6,1.0,33.4493510913,-112.0692680776
51303,'Ozf92eEJSwwb3LbO50cvag','Dao Kitchen #2 Asian Bistro','34455 N 27th Dr','Phoenix','AZ','85085',"'Chinese, Asian Fusion, Restaurants'",113,3.5,33.7974208,-112.1175456
51494,'trsKoo2b9-nMcXCKn8dlfQ','Good China Restaurant',"'6544 W Thomas Rd, Ste 38'",'Phoenix','AZ','85033',"'Chinese, Restaurants'",59,4.0,33.481251,-112.202466
51810,'q-3Q3t3RS4qiW51fDIEvyQ','New China Super Buffet','601 W Bell Rd','Phoenix','AZ','85023',"'Chinese, Buffets, Restaurants'",107,2.5,33.6394811,-112.0813108
51884,'DL7V1_chkWkZtyG4_xNYfw','Pei Wei',"'701 W McDowell Rd, Ste 101'",'Phoenix','AZ','85003',"'Fast Food, Gluten-Free, Thai, Restaurants, Asian Fusion, Chinese, Korean'",223,2.5,33.465571657199995,-112.0828567121
51903,'pdWnWH3SnjTTkRZx0y2wSw','New China Buffet','2939 N 24th St','Phoenix','AZ','85016',"'Buffets, Chinese, Restaurants'",10,2.0,33.4818808,-112.0298819
52074,'rBBAD_fHaYnqWC_APHO2SQ','Go Go China',"'13636 N Tatum Blvd, Ste 10'",'Phoenix','AZ','85032',"'Chinese, Restaurants'",71,2.5,33.610826,-111.9791238
52869,'drIFrAyZnyismS1ArZlmAg','Loving Hut','3239 E Indian School Rd','Phoenix','AZ','85018',"'Vietnamese, Vegetarian, Restaurants, Chinese, Sandwiches, Vegan'",263,4.0,33.494905,-112.0113546
53742,'V9Yta_aOk2-bQm5PiYhOsQ','Panda Express','7510 W Thomas Rd','Phoenix','AZ','85033',"'Chinese, Restaurants, Fast Food'",26,2.0,33.480643,-112.2211237
54574,'lEtpTFWetCf6xnzeImLiHg',"""Mr Chao's Asia Bistro""","'4232 E Chandler Blvd, Ste 4'",'Phoenix','AZ','85048',"'Restaurants, Asian Fusion, Chinese'",77,4.0,33.305945,-111.99117
54942,'7wgNlcLTfQq8CHBob7AGHg','Panda Express',"'3923 E Thunderbird Rd, Suite 111'",'Phoenix','AZ','85032',"'Chinese, Fast Food, Restaurants'",25,3.0,33.6109922273,-111.9963693704
55205,'iKvNhthGJpn_wPBuaPHiJw','Phoenix Institute of Herbal Medicine & Acupuncture',"'301 E Bethany Home Rd, Suite A-100'",'Phoenix','AZ','85012',"'Traditional Chinese Medicine, Colleges & Universities, Health & Medical, Acupuncture, Education'",6,3.5,33.5224977,-112.0685254
55555,'-jKBFjNTbiafSdunQy6dlQ','Mandarin Super Buffet','1501 W Bethany Home Rd','Phoenix','AZ','85015',"'Restaurants, Asian Fusion, Buffets, Cantonese, Food, Chinese'",125,2.5,33.524008,-112.091192
55867,'QyfX-6jFfINH1MuXS8R6ZA','Abacus Inn Chinese Restaurant',"'4747 E Elliot Rd, Ste 6'",'Phoenix','AZ','85044',"'Chinese, Restaurants'",15,3.0,33.3480616,-111.98202140000002
56332,'u5xy3VHIry2LZ9q9Co-KLA','China Garden Restaurant','17201 N 19th Ave','Phoenix','AZ','85023',"'Buffets, Restaurants, Chinese'",27,3.5,33.641965500000005,-112.09969879999998
56444,'QDJBn7I1EdtP9w4nYT24Pw','Lucky Kitchen','1520 W Indian School Rd','Phoenix','AZ','85015',"'Restaurants, Fast Food, Chinese, Italian, Food, Food Delivery Services'",137,3.0,33.4954325375,-112.0921359153
58167,'cRCYeQOWjveBc0-SHwXCPg','Pick Up Stix','1935 E Camelback Road','Phoenix','AZ','85016',"'Chinese, Restaurants'",16,2.5,33.508736,-112.04148899999998
60452,'qIbXdUmyiKsSAnsTuIe_1A','Ninja Bowl',"'2040 W Deer Valley Rd, Ste A'",'Phoenix','AZ','85027',"'Japanese, Donuts, Restaurants, Chinese, Food'",6,3.5,33.68439,-112.103672
60967,'6oyUUtgIqBEnMnB9B7-O7A','Dragon Chinese Restaurant','1739 W Glendale','Phoenix','AZ','85021',"'Restaurants, Chinese'",11,4.0,33.538144,-112.096976
61128,'aVKBmuvdDmEOgOfqaSF_xA','Happy Food','6701 W Thomas Rd','Phoenix','AZ','85033',"'Restaurants, Chinese'",45,4.0,33.4798487,-112.204039
61759,'5z-kd3h50BnaE1Ee8GV5bg',"""Lim's Chinese Buffet""",'2412 E Greenway Rd','Phoenix','AZ','85032',"'Chinese, Restaurants, Buffets'",55,3.5,33.62691220000001,-112.0297986
63619,'hKFF8inOc_bK0P7bZBv37g','Pick Up Stix','10810 N Tatum Blvd','Phoenix','AZ','85028',"'Chinese, Restaurants'",4,4.0,33.5838313,-111.9786204
64350,'nlU0Gp7KCN2hjIzcTdWy0w','Golden Bowl Chinese Food','3208 E Cactus Rd','Phoenix','AZ','85032',"'Chinese, Restaurants'",10,3.5,33.5974201,-112.0123844
65332,'RdK6dhy4lOb2taNp-WrHjQ','El Mesquite Cocina Mexicana',"'26 E Baseline Rd, Ste 120'",'Phoenix','AZ','85042',"'Restaurants, Japanese, Chinese, Mexican, Diners, Thai, Seafood, Breakfast & Brunch'",64,4.0,33.378822233600005,-112.0716812295
65845,'n1S7XnZfCCDIWlMZ8yUvEw','Panda Express',"'3013 W Agua Fria Freeway C1-a, Ste 4'",'Phoenix','AZ','85027',"'Fast Food, Chinese, Restaurants'",30,3.0,33.6666466247,-112.12385335309999
66716,'bWjAFePgWj4op9VwUtKU6w','Little King of Kings','1750 W Van Buren St','Phoenix','AZ','85007',"'Restaurants, Salad, Chinese, Mexican, Sushi Bars'",5,3.5,33.451434086999996,-112.09766580200001
67332,'3G_wGIblXDNRYg4xIe9VZA','Golden Moon Palace Restaurant','1408 W Van Buren St','Phoenix','AZ','85007',"'Restaurants, Chinese'",9,3.5,33.4516155,-112.0905491
67644,'6eUJ3BbrP7tsEKwYhMI4_Q','Yunan Wok',"'2948 E Bell Rd, Ste 103'",'Phoenix','AZ','85032',"'Chinese, Restaurants'",29,2.0,33.64099960000001,-112.0188999
67933,'-voRkfS42YKYsrJ9DV0FxQ','Panda Express',"'2434 E Baseline Rd, Ste 101'",'Phoenix','AZ','85042',"'Fast Food, Restaurants, Chinese'",38,2.5,33.378393,-112.028684
68429,'dslG9vlmSVUa7PnK0syMkg','Simply In Demand Chiropractic',"'34406 N 27th Dr, Ste 124'",'Phoenix','AZ','85085',"'Pets, Acupuncture, Naturopathic/Holistic, Veterinarians, Chiropractors, Doctors, Traditional Chinese Medicine, Health & Medical'",7,5.0,33.796596,-112.11961
69326,'uBZjhmmqzIwxdTeIKopCEg',"""Yu's Cafe""",'1920 W Thunderbird Rd','Phoenix','AZ','85023',"'Restaurants, Chinese'",15,3.5,33.6115645,-112.1008455
70253,'Gda4SfsyvOKC0cZkXEjTzg','Chinese Gourmet Buffet','5301 W Indian School Rd','Phoenix','AZ','85031',"'Buffets, Chinese, Restaurants'",4,2.0,33.4944809,-112.17367240000002
70264,'pTr0UQn7oWW4wxF6qPEXdw','Mein Man','2929 W Acoma Dr','Phoenix','AZ','85053',"'Event Planning & Services, Restaurants, Caterers, Chinese, Food, Food Trucks, Street Vendors'",8,5.0,33.6174152,-112.12138799999998
70747,'aPXqM0otWirctn5d4HkTNQ','Imperial Garden Chinese Buffett','1575 E Camelback Rd','Phoenix','AZ','85014',"'Chinese, Buffets, Restaurants'",3,3.0,33.5089548,-112.0483091
71880,'r9x6Pvgh7SH7TInybHtl0A','Oriental Express',"'18631 N 19th Ave, Ste 150'",'Phoenix','AZ','85027',"'Sushi Bars, Chinese, Restaurants'",40,3.0,33.6558418,-112.0985274
73208,'tp-kxTZx1ogZm4oNu6d-gQ','Jesse James Body Wellness','6370 E Thomas Rd','Phoenix','AZ','85250',"'Active Life, Reflexology, Medical Spas, Food, Meditation Centers, Life Coach, Juice Bars & Smoothies, Health & Medical, Beauty & Spas, Float Spa, Traditional Chinese Medicine, Health Coach, Reiki, Nutritionists, Doctors, Naturopathic/Holistic, Massage Therapy, Rolfing, Weight Loss Centers, Massage, Fitness & Instruction, Professional Services'",15,5.0,33.4808998145,-111.94502960370001
73362,'GbLdYTOMHqaCLDTSlgC1lw','Golden Nugget Chinese Buffet','4955 W Indian School Rd','Phoenix','AZ','85031',"'Chinese, Restaurants, Buffets'",15,3.0,33.4946269,-112.1668902
74610,'v1vcs-uSAQcjTFsHxS1dug','Bamboo House','502 E Thunderbird Rd','Phoenix','AZ','85022',"'Chinese, Restaurants'",91,3.0,33.608092799999994,-112.0663045
74829,'myw0csRck6XG4w5Z-EFyqg','Dragon Bowl',"'814 E Union Hills Dr, Ste C-14'",'Phoenix','AZ','85024',"'Chinese, Restaurants'",193,4.0,33.6561233,-112.0629591
75924,'ki8DalibpkEUDbWjQnJ5WA','China Chan Restaurant','10227 N Metro Pkwy E','Phoenix','AZ','85051',"'Chinese, Restaurants, Buffets, Dim Sum'",40,4.0,33.5803589,-112.120516
76002,'T30RkAqYAtljfapSghHA1Q','Garden Express','1825 W Buckeye Rd','Phoenix','AZ','85007',"'Restaurants, Chinese'",6,4.0,33.436326300000005,-112.0982639
77018,'SVMR0kRmdd-bbSNTTECJBA','Super Dragon','1212 E Northern Ave','Phoenix','AZ','85020',"'Seafood, Restaurants, Chinese, Soup'",187,4.0,33.5530668,-112.0558575
77241,'079CV1EE5WLdQqVEVYFeHQ','The Prime Chinese Restaurant',"'24 W Camelback Rd, Ste H'",'Phoenix','AZ','85013',"'Restaurants, Chinese'",158,4.0,33.5098269741,-112.07547861569999
77835,'JdbYyxufvaU6uwmNg0EqhQ','China Inn','3 S 2nd St','Phoenix','AZ','85004',"'Restaurants, Chinese'",3,2.0,33.4470733,-112.07097749999998
78067,'ZCzey5aPhd7jYIoHsUfjmQ','Clever Koi',"'4236 N Central Ave, Ste 100'",'Phoenix','AZ','85012',"'Chinese, Bars, Japanese, Restaurants, Thai, Asian Fusion, Nightlife, Korean'",867,4.5,33.497502000000004,-112.0740325
78882,'rswuhMY5vCbvZvF2wBIhqg','Sun Asian Kitchen',"'2070 E Baseline Rd, Ste D112'",'Phoenix','AZ','85042',"'Restaurants, Asian Fusion, Chinese, Sushi Bars'",214,3.5,33.378349699999994,-112.03697920000002
79229,'hjDCsuzS_yU60FFffqpt-w','Hibachi Grill & Supreme Buffet','10030 N Metro Pkwy E','Phoenix','AZ','85051',"'Buffets, Chinese, Restaurants'",101,2.5,33.577893700000004,-112.1189045
79589,'n62dcL1e8BQA1_kUEYrldQ','Shangri-La Chinese','2855 W Cactus Rd','Phoenix','AZ','85029',"'Restaurants, Chinese'",131,4.0,33.5957251,-112.12053590000002
80668,'nD_06cH9Djagl-WCfaDidA','Innate Healthcare',"'4840 E Indian School Rd, Ste 104'",'Phoenix','AZ','85018',"'Sports Medicine, Counseling & Mental Health, Naturopathic/Holistic, Pain Management, Doctors, Traditional Chinese Medicine, Health & Medical, Cannabis Clinics, Weight Loss Centers, Acupuncture'",4,5.0,33.4954835,-111.9768882
81159,'-H1-IzxW6CXmjhmF5F6iMA','Green Tea Chinese Restaurant',"'3961 E Chandler Blvd, Ste 100'",'Phoenix','AZ','85048',"'Restaurants, Chinese'",49,3.5,33.3036581382,-111.9984651357
83599,'IAqyeVG1ZMrv7hiV3FAB6Q','Shanghai Buffet','4201 W Bell Rd','Phoenix','AZ','85053',"'Chinese, Restaurants, Buffets'",54,3.0,33.6391367,-112.1492386
83940,'cJzv3fbd7jL2ZHyFosFkOw','King Wong Chinese Food','2545 N 32nd St','Phoenix','AZ','85008',"'Restaurants, Mexican, Chinese, Seafood'",217,4.0,33.4766277,-112.0128996
85710,'gso5aisp97oTIWWzoRGUiw','Great Dragon Restaurant','2624 W Bethany Home Rd','Phoenix','AZ','85017',"'Restaurants, Buffets, Chinese'",21,2.0,33.5244141,-112.11503590000002
86087,'CGgUHkAKU0QBsdGvXxfMuw','Mister Wong','10627 N 19th Ave','Phoenix','AZ','85029',"'Restaurants, Chinese'",77,3.5,33.5829417,-112.0993303
87031,'cXdQ3H0GqcIzRgrvBEaBxw','Noodle & Rice',"'2017 E Cactus Rd, Ste G'",'Phoenix','AZ','85022',"'Restaurants, Noodles, Thai, Chinese'",191,4.0,33.59618629999999,-112.0361236
87325,'OX0T9dWI8b7meu-ljTo22A',"""Long Wong's""",'2812 E Thomas Rd','Phoenix','AZ','85016',"'Restaurants, Armenian, Burgers, Chicken Wings, Sandwiches, Chinese, American (New), American (Traditional), Pizza'",129,3.5,33.480799600000005,-112.0207968
87929,'eCJDiRPoSuA0bsb7F1gNUA','Asian Cafe',"'2510 W Thunderbird Rd, Ste 9'",'Phoenix','AZ','85023',"'Fast Food, Restaurants, Szechuan, Chinese, Asian Fusion'",50,4.0,33.6117852,-112.1105198
88327,'9QgkfSUUY5bq0rO7sAq0cA','Panda Express','3300 W Camelback Rd','Phoenix','AZ','85017',"'Chinese, Fast Food, Restaurants'",3,2.5,33.51357,-112.130101
88914,'bj6Km1RvgD6oyppCe5yDog','New Hong Kong','2328 E Indian School Rd','Phoenix','AZ','85016',"'Chinese, Restaurants, Buffets'",65,3.5,33.4949655,-112.0310218
